just7bty|1
sagarika1411|1
shubham_gole_poetry|1
nausheen_noora|1
sanjana_basor|1
samyak.gyaan|1
ajinkya_panchabudhe|1
riyalizations|1
reachsarthak|1
abhinav.paigwar|1
kiruba_shankaran|1
bhatakuuu|1
lavmittal26|1
deeepak.agrawal|1
bhatt.aayush|1
sabarinath_r_nair|1
surabhiiiagarwal|1
riyaawaghmare|1
demta.as|1
sdg.2512|1

babbu296|0
sharwari_99|0
athish_ganesh|1
i_wallflower|1
vinayak.kori_|0
roysohan|0
iim_shop_india|0
mai_tarun|0
swapnilgawai4.0|1
the_stone_wall_saga|0
ughh_whateva|0
santylockd|0
gaikwadonkar44|0
nemo_vansh|1
jeffy_soza|0
aditya_kaloge|1
_harshadkumbhare_|1
ameer_indeed|1
srishhhhtiiiiii|1
vivekmanchandia|0
dimple.doshi96|0
nehabansod09|0
aumtalaviya|0
palakgrg|0
jana_kavi_sankar|1
pooja_8239|0
varshaaramann|0
mitalee_kulkarni|0
such_it_a|0
aekansh.jain|1
pragyabinjwa|0
adhip_garg|0
_mahendra_98|0
pisal__ashish___|1
kajalfitkiriwala|0
pragati.mohapatra|0
inss10may|0
somubgne938|0
vishwang_|0
prabal_agrawal|0
manasatamilselvan|0
chayanikaborah_|0
namrata14|0
aayushgupta443|0
ajay_balaji._|0
cold_n_cruel|0
aniket_thakur_24|0
abhilash_pv892|0
kamalesh.manoharan|0
harisankar.arvindkanna|0
mansim0|0
vatsmankodi|0
aashritha_bolla|0
nikhil.sadish|0
abishek.ramesh.7|0
bhargav.chauhan7|0
__shivansh_mishra|1
akxxhay_|1
roshni_bhattacharya|0
avantikamaheshwarii|0
nv__ayush|0
rohithsivaganesh1|0
manu._.chauhan|0
venkataraman_manickanatesan|0
brain.stormed|0
haneena_confessions_v2|0
dhanashree_revagade|0
are_junee|1
sha.amd|0
pavneet1407|0
struggle_and_strife|0
pallabkganguly|0
srmajiprince|0
raj_mp99|0
hardik_mall|0
_anirban_sinha|1
the_skeptical_kid|0
bhavini_bhatnagar|0
susmithamaddukuri|0
douchediaries|0
mr.xeno_0|0
coffee_questionmark|0
so_hamble|0
ssp_2210|0
suhasshekar27|0
_jainnsid|0
__risk2401|0
yeh__raaz|0
ak.abhishek_04|0
__mansee__|0
the_stupid_tushar|0
sahil.kumar2997|0
da.silentmonk|0
phalakkk|0
gaurav8_97|0
diksha.sharma18|0
ehab_nt|1
ambar_tayde|0
elanchithiran_98|0
sonal_kanodia|0
rashesh_vagadia97|0
_mayank_goyal|0
me_wagish|0
bharghvi.p|0
kamna_lohra|0
akshay_bhamare87|0
salil.gupta95|0
rajasshahade|0
notfakevarun|0
mayanksahu1104|0
i.am.an.ant|1
bhandare_atul|0
gvm_vamshi|0
vandanarolan|0
guidemethrough22|1
manasi.v.deshpande|0
saurabhjaiswal.me|0
pin_chin123|0
xeno__verse|-1
abhishek_jagatap|0
krish_matreja|0
imsupravo|0
csg_1729|1
krishnawadhwa_|0
satya.nirala.54|0
loui_pegu|1
chiraggguptaa|0
kalyalakshmisainath|0
kuuunaaalll|0
shawty.need.serotonin|0
deep_of_planet_earth|1
meghanaaa7|0
parth8a|0
vinaykmr96|0
riteshzd|1
daily_dilemma__|0
sarma.pratyai|0
why_bhanshu|0
priyaankaaab|0
saileshramesh12|0
_justanotherstranger__|1
srubabatibasu|0
sakshi_bihani_|0
subarna__sahoo|0
gargi_sinhasarkar|0
dannyb9693|0
